Model,Prime,,Gold,,,,Silver,,
,,,64,,64+32,,,,
,Core,Count,Core,Count,Core,Count,Core,Count,
240,,,,,A73,4,A53,4,
250,,,,,A73,4,A53,4,
260,,,,,A73,4,A53,4,
265,,,,,A73,4,A53,4,
280,,,,,A73,4,A55,4,
360,,,,,A75,2,A55,6,
385,,,,,A75,4,A55,4,
460,,,,,A76,2,A55,6,
465,,,,,A76,2,A55,6,
468,,,,,A76,2,A55,6,
470,,,,,A76,2,A55,6,
475,A76,1,,,A76,1,A55,6,
485,A76,1,,,A76,3,A55,4,
490,,,,,A76,4,A55,4,
495,,,,,A76,4,A55,4,
560,,,,,A77,2,A55,6,
570,,,,,A77,2,A55,6,
585,A77,1,,,A77,3,A55,4,
660,,,,,A78,2,A55,6,
670,A78,1,,,A78,3,A55,4,
680,X1,1,,,A78,3,A55,4,
801,X2,1,,,A710,3,A510,4,8gen1
802,X3,1,A715,2,A710,2,A510,3,8gen2
701,A710,1,,,A710,3,A510,4,7gen1
702,X2,1,,,A710,3,A510,4,7gen2
